state,mortality_rate,unknown
state,unknown,unknown
﻿california,39.633 -122.032,39.633 -122.032
colorado,39.0001 -105.5453,39.0001 -105.5453
connecticut,41.6059 -72.7384,41.6059 -72.7384
massachusetts,42.2376 -71.7354,42.2376 -71.7354
minnesota,46.8126 -94.6526,46.8126 -94.6526
pennsylvania,40.8987 -77.847,40.8987 -77.847
utah,38.8649 -110.9159,38.8649 -110.9159
vermont,44.0725 -72.6624,44.0725 -72.6624
washington,47.3815 -120.4236,47.3815 -120.4236
wisconsin,44.6509 -89.7299,44.6509 -89.7299
florida,27.6661 -81.3526,27.6661 -81.3526
idaho,43.913 -115.274,43.913 -115.274
illinois,40.1191 -89.1545,40.1191 -89.1545
iowa,42.0838 -93.5064,42.0838 -93.5064
maryland,39.0334 -76.7702,39.0334 -76.7702
michigan,43.2312 -85.2907,43.2312 -85.2907
nebraska,41.5005 -99.688,41.5005 -99.688
nevada,39.348 -116.6504,39.348 -116.6504
new york,43.3649 -74.8466,43.3649 -74.8466
oregon,43.9448 -120.5394,43.9448 -120.5394
west virginia,38.6449 -80.6102,38.6449 -80.6102
arizona,34.2956 -111.6596,34.2956 -111.6596
georgia,32.6524 -83.4511,32.6524 -83.4511
indiana,39.9126 -86.2849,39.9126 -86.2849
kansas,38.4965 -98.3275,38.4965 -98.3275
kentucky,37.5139 -85.2779,37.5139 -85.2779
missouri,38.3185 -92.4495,38.3185 -92.4495
new hampshire,43.6916 -71.5628,43.6916 -71.5628
new jersey,39.7595 -74.7335,39.7595 -74.7335
north carolina,35.5359 -79.2521,35.5359 -79.2521
ohio,40.37 -82.869,40.37 -82.869
oklahoma,35.5815 -97.5042,35.5815 -97.5042
alabama,32.637 -86.6745,32.637 -86.6745
arkansas,34.9219 -92.4448,34.9219 -92.4448
louisiana,31.5714 -92.5874,31.5714 -92.5874
mississippi,32.7671 -89.6626,32.7671 -89.6626
montana,47.0485 -109.6588,47.0485 -109.6588
new mexico,34.4164 -106.0863,34.4164 -106.0863
south carolina,33.9015 -80.8837,33.9015 -80.8837
south dakota,44.4463 -100.2288,44.4463 -100.2288
tennessee,35.8165 -86.0515,35.8165 -86.0515
texas,31.4556 -99.3287,31.4556 -99.3287
virginia,37.5044 -78.856,37.5044 -78.856
alaska,27.2319 -117.9187,27.2319 -117.9187
delaware,38.819 -75.418,38.819 -75.418
district of columbia,38.8956 -77.0177,38.8956 -77.0177
hawaii,26.6006 -105.5203,26.6006 -105.5203
maine,45.3376 -69.2175,45.3376 -69.2175
north dakota,47.4815 -99.5195,47.4815 -99.5195
rhode island,41.6819 -71.5293,41.6819 -71.5293
wyoming,43.0273 -107.5545,43.0273 -107.5545
