"Alabama","","142–204","32.637 -86.6745","Alabama"
"Alaska","","142–204","27.2319 -117.9187","Alaska"
"Arizona","","114–137","34.2956 -111.6596","Arizona"
"Arkansas","","142–204","34.9219 -92.4448","Arkansas"
"California","","70.5–92.0","39.633 -122.032","California"
"Colorado","","93.6–112","39.0001 -105.5453","Colorado"
"Connecticut","","93.6–112","41.6059 -72.7384","Connecticut"
"Delaware","","114–137","38.819 -75.418","Delaware"
"District of Columbia","","93.6–112","34.0312 -74.2937","District of Columbia"
"Florida","","114–137","27.6661 -81.3526","Florida"
"Georgia","","114–137","32.6524 -83.4511","Georgia"
"Hawaii","","70.5–92.0","26.6006 -105.5203","Hawaii"
"Idaho","","70.5–92.0","43.913 -115.274","Idaho"
"Illinois","","93.6–112","40.1191 -89.1545","Illinois"
"Indiana","","114–137","39.9126 -86.2849","Indiana"
"Iowa","","70.5–92.0","42.0838 -93.5064","Iowa"
"Kansas","","114–137","38.4965 -98.3275","Kansas"
"Kentucky","","142–204","37.5139 -85.2779","Kentucky"
"Louisiana","","142–204","31.5714 -92.5874","Louisiana"
"Maine","","114–137","45.3376 -69.2175","Maine"
"Maryland","","93.6–112","39.0334 -76.7702","Maryland"
"Massachusetts","","70.5–92.0","42.2376 -71.7354","Massachusetts"
"Michigan","","114–137","43.2312 -85.2907","Michigan"
"Minnesota","","70.5–92.0","46.8126 -94.6526","Minnesota"
"Mississippi","","142–204","32.7671 -89.6626","Mississippi"
"Missouri","","142–204","38.3185 -92.4495","Missouri"
"Montana","","114–137","47.0485 -109.6588","Montana"
"Nebraska","","70.5–92.0","41.5005 -99.688","Nebraska"
"Nevada","","114–137","39.348 -116.6504","Nevada"
"New Hampshire","","93.6–112","43.6916 -71.5628","New Hampshire"
"New Jersey","","70.5–92.0","39.7595 -74.7335","New Jersey"
"New Mexico","","142–204","34.4164 -106.0863","New Mexico"
"New York","","70.5–92.0","43.3649 -74.8466","New York"
"North Carolina","","114–137","35.5359 -79.2521","North Carolina"
"North Dakota","","114–137","47.4815 -99.5195","North Dakota"
"Ohio","","114–137","40.37 -82.869","Ohio"
"Oklahoma","","142–204","35.5815 -97.5042","Oklahoma"
"Oregon","","93.6–112","43.9448 -120.5394","Oregon"
"Pennsylvania","","93.6–112","40.8987 -77.847","Pennsylvania"
"Rhode Island","","70.5–92.0","41.6819 -71.5293","Rhode Island"
"South Carolina","","142–204","33.9015 -80.8837","South Carolina"
"South Dakota","","142–204","44.4463 -100.2288","South Dakota"
"Tennessee","","142–204","35.8165 -86.0515","Tennessee"
"Texas","","93.6–112","31.4556 -99.3287","Texas"
"Utah","","70.5–92.0","38.8649 -110.9159","Utah"
"Vermont","","93.6–112","44.0725 -72.6624","Vermont"
"Virginia","","93.6–112","37.5044 -78.856","Virginia"
"Washington","","70.5–92.0","47.3815 -120.4236","Washington"
"West Virginia","","142–204","38.6449 -80.6102","West Virginia"
"Wisconsin","","93.6–112","44.6509 -89.7299","Wisconsin"
"Wyoming","","93.6–112","43.0273 -107.5545","Wyoming"
