state,mortality_rate,unknown
﻿california,0-18.6,39.633 -122.032
colorado,0-18.6,39.0001 -105.5453
connecticut,0-18.6,41.6059 -72.7384
massachusetts,0-18.6,42.2376 -71.7354
minnesota,0-18.6,46.8126 -94.6526
pennsylvania,0-18.6,40.8987 -77.847
utah,0-18.6,38.8649 -110.9159
vermont,0-18.6,44.0725 -72.6624
washington,0-18.6,47.3815 -120.4236
wisconsin,0-18.6,44.6509 -89.7299
florida,21.5-26.0,27.6661 -81.3526
idaho,21.5-26.0,43.913 -115.274
illinois,21.5-26.0,40.1191 -89.1545
iowa,21.5-26.0,42.0838 -93.5064
maryland,21.5-26.0,39.0334 -76.7702
michigan,21.5-26.0,43.2312 -85.2907
nebraska,21.5-26.0,41.5005 -99.688
nevada,21.5-26.0,39.348 -116.6504
new york,21.5-26.0,43.3649 -74.8466
oregon,21.5-26.0,43.9448 -120.5394
west virginia,21.5-26.0,38.6449 -80.6102
arizona,26.1-34.3,34.2956 -111.6596
georgia,26.1-34.3,32.6524 -83.4511
indiana,26.1-34.3,39.9126 -86.2849
kansas,26.1-34.3,38.4965 -98.3275
kentucky,26.1-34.3,37.5139 -85.2779
missouri,26.1-34.3,38.3185 -92.4495
new hampshire,26.1-34.3,43.6916 -71.5628
new jersey,26.1-34.3,39.7595 -74.7335
north carolina,26.1-34.3,35.5359 -79.2521
ohio,26.1-34.3,40.37 -82.869
oklahoma,26.1-34.3,35.5815 -97.5042
alabama,34.7-51.1,32.637 -86.6745
arkansas,34.7-51.1,34.9219 -92.4448
louisiana,34.7-51.1,31.5714 -92.5874
mississippi,34.7-51.1,32.7671 -89.6626
montana,34.7-51.1,47.0485 -109.6588
new mexico,34.7-51.1,34.4164 -106.0863
south carolina,34.7-51.1,33.9015 -80.8837
south dakota,34.7-51.1,44.4463 -100.2288
tennessee,34.7-51.1,35.8165 -86.0515
texas,34.7-51.1,31.4556 -99.3287
virginia,34.7-51.1,37.5044 -78.856
alaska,,27.2319 -117.9187
delaware,,38.819 -75.418
district of columbia,,38.8956 -77.0177
hawaii,,26.6006 -105.5203
maine,,45.3376 -69.2175
north dakota,,47.4815 -99.5195
rhode island,,41.6819 -71.5293
wyoming,,43.0273 -107.5545
