state,2020,2021,2022,2023
United States,5.4,5.4,5.61,5.61
Alabama,7,7.6,6.69,7.64
Alaska,5.1,7.4,6.62,7.21
Arizona,5.2,5.5,6.17,5.54
Arkansas,7.4,8.6,7.67,8.22
California,3.9,4.1,4.11,4.1
Colorado,4.8,5,4.54,4.55
Connecticut,4.3,4.7,4.25,4.49
Delaware,5.1,4.8,7.49,6.14
District of Columbia,5.2,6.8,5.45,6.97
Florida,5.8,5.9,5.98,6.1
Georgia,6.3,6.3,7.08,6.99
Hawaii,4.9,4.7,5.79,4.86
Idaho,5.1,5.1,5.27,4.38
Illinois,5.5,5.6,5.59,5.91
Indiana,6.8,6.8,7.16,6.51
Iowa,4.4,4,5.2,5.1
Kansas,6.6,5.3,5.81,5.23
Kentucky,6.4,6.2,5.77,5.58
Louisiana,7.6,7.2,7.37,7.14
Maine,6.3,5,6.37,5.68
Maryland,5.7,6,6.03,5.61
Massachusetts,3.9,3.2,3.32,3.28
Michigan,6.8,6.2,6.2,6.09
Minnesota,4.1,4.8,4.5,4.79
Mississippi,8.1,9.4,9.11,8.94
Missouri,5.9,5.9,6.77,6.12
Montana,5,4.9,4.65,5.51
Nebraska,5.7,5.5,5.83,6.39
Nevada,4.6,5.8,4.49,5.88
New Hampshire,4.4,4,3.48,2.93
New Jersey,4,3.6,3.57,3.69
New Mexico,5.3,4.8,5.88,4.39
New York,4.1,4.2,4.26,4.03
North Carolina,6.8,6.7,6.79,6.95
North Dakota,5.5,2.8,4.39,4.87
Ohio,6.7,7.1,7.11,7.16
Oklahoma,5.9,7.1,6.89,7.12
Oregon,4.2,3.8,4.48,4.62
Pennsylvania,5.2,5.4,5.69,5.57
Rhode Island,5.6,4.3,3.9,4.79
South Carolina,4,7.3,6.76,6.96
South Dakota,6.6,6.1,7.77,6.34
Tennessee,6.4,6.2,6.61,6.48
Texas,5.3,58.3,5.72,5.83
Utah,5.4,4.6,5.03,5.22
Vermont,NSD,NSD,4.89,3.16
Virginia,5.8,6,6.21,5.87
Washington,4.5,4.4,4.34,5.04
West Virginia,7.3,6.8,7.32,5.6
Wisconsin,5.9,5.4,5.8,5.77
Wyoming,5.2,5.5,5.62,3.84
