state,"Maternal Mortality Rate per 100,000 live Births",Uninsured,women_weekly,ratio_earings_to_men,cesarean,state_abbreviation
United States,23.5,0.03,912.0,0.83,32%,
Alabama,41.4,0.05,788.0,0.78,35%,AL
Alaska,NR,0.09,967.0,0.79,24%,AK
Arizona,31.4,0.03,860.0,0.81,29%,AZ
Arkansas,43.5,0.04,800.0,0.87,34%,AR
California,10.1,0.02,1020.0,0.88,31%,CA
Colorado,15.2,0.03,1035.0,0.85,27%,CO
Connecticut,16.7,0.02,1089.0,0.86,35%,CT
Delaware,NR,0.03,894.0,0.91,32%,DE
District of Columbia,NR,0.01,1565.0,0.83,31%,
Florida,26.3,0.04,818.0,0.86,36%,FL
Georgia,33.9,0.04,855.0,0.86,35%,GA
Hawaii,NR,0.07,880.0,0.86,28%,HI
Idaho,NR,0.03,796.0,0.81,24%,ID
Illinois,17.3,0.02,968.0,0.81,31%,IL
Indiana,31.1,0.03,859.0,0.8,30%,IN
Iowa,20.2,0.02,840.0,0.83,30%,IA
Kansas,22,0.04,846.0,0.79,30%,KS
Kentucky,38.4,0.04,820.0,0.88,35%,KY
Louisiana,39,0.03,783.0,0.78,37%,LA
Maine,NR,0.04,903.0,0.84,31%,ME
Maryland,21.2,0.03,1134.0,0.85,34%,MD
Massachusetts,15.3,0.01,1157.0,0.84,32%,MA
Michigan,19.4,0.02,910.0,0.76,33%,MI
Minnesota,12.6,0.02,997.0,0.81,29%,MN
Mississippi,43,0.05,722.0,0.84,39%,MS
Missouri,25.7,0.04,845.0,0.83,30%,MO
Montana,NR,0.04,822.0,0.82,28%,MT
Nebraska,26.2,0.03,871.0,0.83,29%,NE
Nevada,21.7,0.04,828.0,0.88,33%,NV
New Hampshire,NR,0.04,963.0,0.76,33%,NH
New Jersey,25.7,0.02,1075.0,0.8,33%,NJ
New Mexico,30.2,0.04,801.0,0.81,27%,NM
New York,21.7,0.02,979.0,0.83,34%,NY
North Carolina,26.5,0.05,803.0,0.84,30%,NC
North Dakota,NR,0.06,848.0,0.8,26%,ND
Ohio,23.8,0.03,872.0,0.82,32%,OH
Oklahoma,30.3,0.04,738.0,0.78,33%,OK
Oregon,16.4,0.02,967.0,0.86,29%,OR
Pennsylvania,16.7,0.03,925.0,0.81,31%,PA
Rhode Island,NR,0.02,1058.0,0.92,34%,RI
South Carolina,32.7,0.05,756.0,0.78,34%,SC
South Dakota,NR,0.04,809.0,0.83,25%,SD
Tennessee,41.7,0.04,781.0,0.8,32%,TN
Texas,28.1,0.03,869.0,0.86,35%,TX
Utah,16.1,0.02,825.0,0.75,23%,UT
Vermont,NR,0.02,945.0,0.87,27%,VT
Virginia,29.1,0.06,994.0,0.8,33%,VA
Washington,20.4,0.03,1024.0,0.83,29%,WA
West Virginia,NR,0.04,756.0,0.76,34%,WV
Wisconsin,11.6,0.02,950.0,0.89,27%,WI
Wyoming,NR,0.04,822.0,0.75,27%,WY
